Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
1	James Abankwah	ie IRL	DF	Watford	21	2004	31	30	2,596	28.8	0.03	0.00	0.03	0.03	0.00	0.00	0.17	0.03	0.03	0.00	0.03	0.03	0.03	Matches
2	Ebou Adams	gm GAM	MF	Derby County	29	1996	23	16	1,506	16.7	0.06	0.00	0.06	0.06	0.00	0.00	0.42	0.00	0.06	0.00	0.06	0.06	0.06	Matches
3	Ebou Adams	gm GAM	MF	Portsmouth	29	1996	16	14	1,234	13.7	0.15	0.07	0.22	0.15	0.00	0.00	0.22	0.00	0.15	0.07	0.22	0.15	0.22	Matches
4	Kealey Adamson	au AUS	DF	QPR	22	2003	7	1	223	2.5	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	Matches
5	Tayo Adaramola	ie IRL	MF,DF	Sheffield Weds	21	2003	16	15	1,328	14.8	0.00	0.07	0.07	0.00	0.00	0.00	0.14	0.00	0.00	0.07	0.07	0.00	0.07	Matches
6	Dapo Afolayan	eng ENG	MF	Blackburn	27	1997	8	1	164	1.8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
7	Sydney Agina	ke KEN	DF	Stoke City	17	2007	5	3	255	2.8	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.00	0.00	Matches
8	Patrick Agyemang	us USA	FW,MF	Derby County	24	2000	37	33	2,740	30.4	0.33	0.10	0.43	0.33	0.00	0.00	0.20	0.00	0.33	0.10	0.43	0.33	0.43	Matches
9	Ali Ahmed	ca CAN	MF	Norwich City	24	2000	19	16	1,304	14.5	0.28	0.21	0.48	0.28	0.00	0.00	0.07	0.00	0.28	0.21	0.48	0.28	0.48	Matches
10	Semi Ajayi	ng NGA	DF	Hull City	31	1993	22	18	1,656	18.4	0.05	0.05	0.11	0.05	0.00	0.00	0.11	0.00	0.05	0.05	0.11	0.05	0.11	Matches
11	Babajide Akintola	ng NGA	MF	Hull City	29	1996	20	5	510	5.7	0.18	0.35	0.53	0.18	0.00	0.00	0.70	0.00	0.18	0.35	0.53	0.18	0.53	Matches
12	Chuba Akpom	eng ENG	MF,FW	Ipswich Town	29	1995	29	7	900	10.0	0.20	0.00	0.20	0.20	0.00	0.00	0.10	0.00	0.20	0.00	0.20	0.20	0.20	Matches
13	Yisa Alao		MF	Sheffield Weds			2	1	63	0.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
14	Ryan Alebiosu	ng NGA	MF,DF	Blackburn	23	2001	39	37	3,195	35.5	0.03	0.14	0.17	0.03	0.00	0.00	0.11	0.00	0.03	0.14	0.17	0.03	0.17	Matches
15	Isak Alemayehu Mulugeta	se SWE	MF	QPR	18	2006	1	0	11	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
16	Ajibola Alese	eng ENG	DF	Portsmouth	24	2001	1	0	5	0.1	0.00	0.00	0.00	0.00	0.00	0.00	10.0	0.00	0.00	0.00	0.00	0.00	0.00	Matches
17	Cruz Allen	wls WAL	MF	Derby County	18	2007	3	0	7	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
18	Jamie Allen	eng ENG	MF	Coventry City	30	1995	23	4	586	6.5	0.15	0.31	0.46	0.15	0.00	0.00	0.00	0.00	0.15	0.31	0.46	0.15	0.46	Matches
19	Max Alleyne	eng ENG	DF	Watford	20	2005	16	14	1,264	14.0	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	Matches
20	Millenic Alli	ie IRL	MF	Portsmouth	25	2000	21	19	1,558	17.3	0.06	0.12	0.17	0.06	0.00	0.00	0.06	0.00	0.06	0.12	0.17	0.06	0.17	Matches
21	Ryan Allsop	eng ENG	GK	Birmingham City	33	1992	11	11	990	11.0	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	Matches
22	Olabade Aluko		DF	Leicester City			8	1	169	1.9	0.00	0.00	0.00	0.00	0.00	0.00	1.05	0.53	0.00	0.00	0.00	0.00	0.00	Matches
23	Papa Amadou Diallo	sn SEN	MF	Norwich City	21	2004	9	6	535	5.9	0.00	0.34	0.34	0.00	0.00	0.00	0.17	0.00	0.00	0.34	0.34	0.00	0.34	Matches
24	Harry Amass	eng ENG	MF	Norwich City	18	2007	1	0	16	0.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
25	Harry Amass	eng ENG	MF	Sheffield Weds	18	2007	21	21	1,865	20.7	0.05	0.05	0.10	0.05	0.00	0.00	0.14	0.00	0.05	0.05	0.10	0.05	0.10	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
26	Jaydon Amauri Banel	nl NED	MF	Derby County	20	2004	14	5	560	6.2	0.48	0.00	0.48	0.48	0.00	0.00	0.16	0.00	0.48	0.00	0.48	0.48	0.48	Matches
27	Karoy Anderson	jm JAM	MF	Charlton Athletic	20	2004	10	6	527	5.9	0.00	0.17	0.17	0.00	0.00	0.00	0.34	0.00	0.00	0.17	0.17	0.00	0.17	Matches
28	Keshi Anderson	eng ENG	MF	Portsmouth	30	1995	7	3	248	2.8	0.36	0.00	0.36	0.36	0.00	0.00	0.36	0.00	0.36	0.00	0.36	0.36	0.36	Matches
29	Keshi Anderson	eng ENG	MF	Birmingham City	30	1995	19	7	726	8.1	0.12	0.00	0.12	0.12	0.00	0.00	0.25	0.00	0.12	0.00	0.12	0.12	0.12	Matches
30	Kai Andrews	wls WAL	MF	Coventry City	18	2006	7	0	60	0.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
31	Ryan Andrews	eng ENG	DF,MF	Watford	20	2004	3	0	31	0.3	0.00	0.00	0.00	0.00	0.00	0.00	3.33	0.00	0.00	0.00	0.00	0.00	0.00	Matches
32	Rob Apter	sct SCO	MF	Charlton Athletic	22	2003	13	8	589	6.5	0.15	0.00	0.15	0.15	0.00	0.00	0.15	0.00	0.15	0.00	0.15	0.15	0.15	Matches
